account_id,account_open_dt,account_id_type,acct_hldr_primary_addr_state,acct_hldr_primary_addr_zip_cd,acct_hldr_first_name,acct_hldr_last_name,dataset_date
CK152926,2022-05-22,Saving,KY,54056,xnxoyfpvkg,kxbfis,2022-01-02
PV138085,2021-01-01,Checkin,IN,91230,caxwkhkvyf,quntja,2022-01-02
SV52279,2022-11-22,Private,AR,34193,hqtrjodhei,tdkfqw,2022-01-02
SV134503,2021-12-21,Checkin,IL,54846,yauphtilec,dzhouh,2022-01-02
CK143478,2021-04-07,Saving,KY,27365,fdruqamvmt,nmsrvd,2022-01-02
CK115023,2021-04-22,Private,LA,29518,phlddnsnqg,ttmitr,2022-01-02
PV60550,2022-04-02,Checkin,AK,49058,wjluhxvyoi,kkdkld,2022-01-02
PV45540,2022-02-21,Saving,DC,58611,ivftkwoppe,bqqwsq,2022-01-02
PV183065,2022-05-04,Private,MA,39062,wgbhqaoqqr,wekgzw,2022-01-02
CK123277,2022-05-23,Checkin,ME,71589,hnyghqovtq,rjuqng,2022-01-02
PV147891,2021-05-16,Saving,ID,29612,ubqwiyeeph,uflgzg,2022-01-02
PV93186,2021-07-06,Private,DE,50583,elwoqrmasm,wenlfl,2022-01-02
PV35841,2022-02-15,Checkin,HI,52718,ndqfmaxikn,yesteu,2022-01-02
CK92740,2021-06-27,Saving,ME,24811,smltuuxgfl,ypvryk,2022-01-02
PV164920,2022-11-12,Private,DC,63490,tyimthxncp,pzlpkq,2022-01-02
CK81091,2021-11-06,Checkin,GA,70011,gbkddmfpfr,biozlc,2022-01-02
SV179843,2022-05-21,Saving,AZ,54182,upqeniwdle,ulfgyz,2022-01-02
SV104484,2022-07-13,Checkin,IN,57807,zxayqlcsmu,qwosqe,2022-01-02
SV164266,2021-07-28,Saving,MD,45661,jcuvfotddo,mjewlc,2022-01-02
PV97590,2021-06-01,Private,HI,51686,laemnubclg,ivcipa,2022-01-02
PV85363,2022-08-19,Checkin,IL,26203,ewsayeenwt,bzicjd,2022-01-02
PV83638,2022-05-30,Private,KY,88353,hbjdlmgtau,qzchqr,2022-01-02
SV163735,2021-01-18,Saving,IN,23473,bmmqrillwt,ejmwaq,2022-01-02
PV138902,2022-02-13,Private,KS,55522,ygkzstuyef,ursprs,2022-01-02
